"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"290",8.09999999999999,53.3,0,0,1,0,0,0,0,0,0,0.677083333333334,0.0157894736842105
"2524",18.6,55.4,0,0,0,1,0,0,0,0,0,0.583333333333333,0.1
"2950",24.6,65.2,0,0,0,1,0,1,0,0,0,0.875,0.665789473684211
"4078",5.09999999999999,50.3,1,0,0,1,0,0,0,0,0,0.385416666666666,0.25
"1542",24,65.4,0,0,1,0,0,0,0,0,0,0.395833333333333,0.0842105263157895
"875",15.3,68.8,1,0,1,0,0,0,0,1,0,0.833333333333334,0.831578947368421
"226",15.9,62.6,0,0,0,1,0,0,0,0,0,0.59375,0.931578947368421
"1538",22.9,35.8,1,0,1,0,0,1,0,0,0,0.0729166666666663,0.05
"253",6.8,35.1,0,0,0,1,0,0,0,0,0,0.59375,0.134210526315789
"877",13.4,55.2,1,0,0,1,0,0,0,0,0,0.927083333333334,0.165789473684211
"212",11.6,42.6,0,0,1,0,0,0,0,0,0,0.135416666666666,0.218421052631579
"3927",19,48.3,1,0,0,1,0,0,0,0,0,0.916666666666667,0.0657894736842105
"1155",10.1,62,0,0,0,1,0,0,0,0,0,0.552083333333333,0.115789473684211
"391",24.6,29.4,0,0,0,1,0,0,0,0,0,0.145833333333333,0.25
"279",17.9,51.7,1,0,0,1,0,0,0,0,0,0.583333333333333,0.831578947368421
"3412",7.09999999999999,46.4,1,1,0,0,0,0,1,0,0,0.937500000000001,0.434210526315789
"4054",11.5,50,1,0,0,1,1,0,0,0,0,0.0624999999999994,0.384210526315789
"3163",7.3,45.6,0,1,0,0,0,0,1,0,0,0.385416666666666,0.265789473684211
"3803",11.5,50,0,0,0,1,1,0,0,0,0,0.75,0.115789473684211
"402",11.2,31.5,1,0,1,0,0,0,0,0,0,0.302083333333333,0.0342105263157895
"384",3.40000000000001,34.2,0,0,0,1,0,0,0,1,0,0.416666666666667,0.4
"3091",28.9,50.3,0,0,0,1,0,0,0,0,0,0.5625,0.0342105263157895
"3035",18.2,67.2,0,0,0,1,0,0,0,0,0,0.229166666666666,0.35
"37",9,69.7,0,0,1,0,0,0,0,0,0,0.666666666666667,0.05
"3012",15.7,56.3,0,0,1,0,0,0,0,0,1,0.697916666666667,0.534210526315789
"2820",13.6,83,0,0,0,1,0,1,0,0,0,0.260416666666667,0.781578947368421
"2435",19.5,38.3,0,0,0,1,0,0,0,0,0,0.34375,0.0842105263157895
